	# Busco id	Status	Sequence	Score	Length
45	107151at33208	Duplicated	NODE_22779_length_3261_cov_26.112923_g9833_i0:3144-367	1318.2	779.0
46	107151at33208	Duplicated	NODE_19079_length_3563_cov_116.246132_g8287_i0:3459-673	1304.6	783.0
47	107574at33208	Duplicated	NODE_41634_length_2276_cov_13.229233_g17932_i0:163-2079	621.5	501.0
48	107574at33208	Duplicated	NODE_14582_length_4060_cov_27.521946_g6360_i0:3967-506	550.9	595.0
49	108764at33208	Complete	NODE_3992_length_6683_cov_845.196218_g1869_i0:2694-193	502.9	482.0
50	109109at33208	Duplicated	NODE_23928_length_3176_cov_87.361586_g10309_i0:231-2489	1118.5	611.0
51	109109at33208	Duplicated	NODE_11663_length_4483_cov_86.219274_g5146_i0:4451-2094	1034.4	595.0
52	111730at33208	Complete	NODE_30324_length_2780_cov_5.405615_g13087_i0:97-2385	834.3	624.0
53	111746at33208	Duplicated	NODE_22040_length_3317_cov_60.798089_g9511_i0:2878-281	584.1	604.0
54	111746at33208	Duplicated	NODE_19758_length_3503_cov_96.116910_g8573_i0:64-2481	550.2	600.0
55	114954at33208	Duplicated	NODE_13167_length_4253_cov_49.889234_g5778_i0:3921-2149	610.7	472.0
56	114954at33208	Duplicated	NODE_17760_length_3692_cov_45.463388_g5778_i1:3360-1588	610.7	472.0
57	114954at33208	Duplicated	NODE_33256_length_2630_cov_8.251858_g14344_i0:2-1282	556.7	338.0
58	115878at33208	Duplicated	NODE_22244_length_3304_cov_21.721448_g9464_i1:530-1960	513.0	331.0
59	115878at33208	Duplicated	NODE_21929_length_3324_cov_21.942479_g9464_i0:223-1941	512.5	353.0
60	118209at33208	Duplicated	NODE_7100_length_5445_cov_71.791139_g3248_i0:5327-2156	1674.5	874.0
61	118209at33208	Duplicated	NODE_7559_length_5324_cov_73.664445_g3248_i1:5206-2156	1674.5	874.0
62	118209at33208	Duplicated	NODE_23482_length_3204_cov_189.900351_g6456_i3:3055-19	1486.9	836.0
63	119252at33208	Duplicated	NODE_24095_length_3164_cov_127.999676_g10390_i0:215-2302	869.5	552.0
64	119252at33208	Duplicated	NODE_20470_length_3441_cov_436.950416_g8846_i0:3303-1213	816.5	551.0
65	119252at33208	Duplicated	NODE_28035_length_2905_cov_10.527895_g12102_i0:5-2020	780.4	551.0
66	119591at33208	Duplicated	NODE_10396_length_4712_cov_28.097219_g3014_i1:4585-944	1237.8	989.0
67	119591at33208	Duplicated	NODE_6591_length_5603_cov_24.695479_g3014_i0:5476-944	1237.8	989.0
68	121127at33208	Duplicated	NODE_7966_length_5219_cov_54.328799_g793_i5:13-3546	577.3	615.0
69	121127at33208	Duplicated	NODE_8804_length_5019_cov_19.100283_g3940_i0:34-2526	517.6	544.0
70	123923at33208	Duplicated	NODE_15131_length_3985_cov_155.096626_g6609_i0:450-2882	423.4	485.0
71	123923at33208	Duplicated	NODE_15323_length_3962_cov_62.224479_g6609_i1:3511-1079	423.4	485.0
72	124302at33208	Complete	NODE_2888_length_7370_cov_28.375771_g1410_i0:265-3618	827.1	757.0
73	127766at33208	Duplicated	NODE_8122_length_5185_cov_43.187989_g2272_i1:141-3192	805.1	711.0
74	127766at33208	Duplicated	NODE_4919_length_6254_cov_40.833522_g2272_i0:141-2297	796.2	572.0
75	127766at33208	Duplicated	NODE_13130_length_4259_cov_93.631390_g5765_i0:121-2937	792.1	620.0
76	129179at33208	Duplicated	NODE_21747_length_3338_cov_55.845329_g9384_i0:3295-1031	842.0	578.0
77	129179at33208	Duplicated	NODE_9214_length_4932_cov_39.035398_g4106_i0:553-2760	763.3	615.0
78	130245at33208	Duplicated	NODE_6792_length_5540_cov_92.021035_g3109_i0:5442-3046	650.0	410.0
79	130245at33208	Duplicated	NODE_15269_length_3967_cov_87.819723_g6670_i0:249-2645	617.2	434.0
80	130245at33208	Duplicated	NODE_15493_length_3941_cov_91.795760_g6670_i1:249-2645	617.2	434.0
81	130256at33208	Complete	NODE_12714_length_4317_cov_156.745994_g5605_i0:4177-1805	716.7	570.0
82	131349at33208	Duplicated	NODE_16470_length_3822_cov_112.774873_g7189_i0:3610-92	1469.7	945.0
83	131349at33208	Duplicated	NODE_4710_length_6345_cov_163.201531_g2191_i0:6215-2706	1364.3	925.0
84	131848at33208	Complete	NODE_39614_length_2354_cov_7.025427_g17087_i0:2352-127	428.1	438.0
85	132087at33208	Duplicated	NODE_13836_length_4158_cov_47.359608_g6043_i0:123-3344	977.2	778.0
86	132087at33208	Duplicated	NODE_2706_length_7519_cov_93.734757_g1330_i0:185-3352	899.1	743.0
87	132087at33208	Duplicated	NODE_2742_length_7488_cov_94.093999_g1330_i1:185-3352	899.1	743.0
88	134492at33208	Duplicated	NODE_15467_length_3943_cov_49.779070_g6758_i0:3800-339	1251.8	886.0
89	134492at33208	Duplicated	NODE_15308_length_3963_cov_70.882776_g6688_i0:64-2997	1247.0	859.0
90	135294at33208	Duplicated	NODE_27760_length_2920_cov_28.548296_g6900_i2:235-2514	701.1	509.0
91	135294at33208	Duplicated	NODE_15778_length_3905_cov_30.594468_g6900_i0:229-2826	700.2	509.0
92	135294at33208	Duplicated	NODE_16393_length_3832_cov_28.900505_g6900_i1:229-2826	700.2	509.0
93	137383at33208	Complete	NODE_9456_length_4887_cov_44.445575_g4215_i0:4438-1931	865.8	664.0
94	139188at33208	Duplicated	NODE_17054_length_3760_cov_57.609439_g7438_i0:164-2473	702.5	599.0
95	139188at33208	Duplicated	NODE_27172_length_2958_cov_47.674177_g11719_i0:2857-620	674.9	613.0
96	143619at33208	Duplicated	NODE_27075_length_2964_cov_17.740228_g11676_i0:339-1994	369.2	318.0
97	143619at33208	Duplicated	NODE_50950_length_1972_cov_54.373881_g22113_i0:1871-294	342.1	310.0
98	143997at33208	Complete	NODE_21395_length_3365_cov_68.363609_g9234_i0:131-1873	544.5	401.0
99	146671at33208	Duplicated	NODE_18910_length_3578_cov_57.182882_g8214_i0:55-3150	922.0	679.0
100	146671at33208	Duplicated	NODE_6186_length_5742_cov_106.485624_g2836_i0:1946-5131	894.4	718.0
101	147873at33208	Duplicated	NODE_34888_length_2553_cov_50.578629_g15061_i0:82-2100	952.9	565.0
102	147873at33208	Duplicated	NODE_22603_length_3273_cov_173.705000_g9760_i0:3134-1122	888.3	564.0
103	148067at33208	Duplicated	NODE_16699_length_3797_cov_18.678034_g3498_i4:437-3745	618.0	770.0
104	148067at33208	Duplicated	NODE_14137_length_4115_cov_54.890648_g6181_i0:288-3668	538.0	738.0
105	148067at33208	Duplicated	NODE_7743_length_5277_cov_20.495580_g3498_i0:2714-45	528.2	608.0
106	148325at33208	Duplicated	NODE_7095_length_5447_cov_60.235393_g3244_i0:44-2026	368.8	303.0
107	148325at33208	Duplicated	NODE_7529_length_5334_cov_64.785592_g3244_i1:44-2026	368.8	303.0
108	148325at33208	Duplicated	NODE_46749_length_2099_cov_156.955084_g8755_i1:2094-289	359.3	302.0
109	152327at33208	Duplicated	NODE_4169_length_6601_cov_94.667739_g1953_i0:6495-4033	535.9	376.0
110	152327at33208	Duplicated	NODE_26886_length_2975_cov_42.077877_g11597_i0:131-2035	499.2	363.0
111	152977at33208	Duplicated	NODE_1360_length_9050_cov_44.831458_g712_i0:8910-6913	605.5	493.0
112	152977at33208	Duplicated	NODE_1936_length_8250_cov_23.810811_g712_i1:139-2136	605.5	493.0
113	153034at33208	Duplicated	NODE_41264_length_2289_cov_97.614621_g17770_i0:313-2199	803.2	502.0
114	153034at33208	Duplicated	NODE_49469_length_2016_cov_52.725682_g21433_i0:357-2015	699.8	445.0
115	157109at33208	Complete	NODE_96491_length_1122_cov_18.641563_g46725_i0:103-921	301.2	222.0
116	157138at33208	Complete	NODE_10015_length_4779_cov_112.164258_g722_i3:395-2746	429.6	519.0
117	158845at33208	Duplicated	NODE_10141_length_4755_cov_99.204186_g4357_i1:1-2052	454.9	477.0
118	158845at33208	Duplicated	NODE_9816_length_4818_cov_96.271233_g4357_i0:1-2115	446.0	478.0
119	158962at33208	Duplicated	NODE_1781_length_8455_cov_38.352422_g907_i0:8398-6422	747.8	565.0
120	158962at33208	Duplicated	NODE_3143_length_7195_cov_44.878826_g907_i1:7138-5162	747.8	565.0
121	162821at33208	Duplicated	NODE_11423_length_4520_cov_76.078930_g5048_i0:395-2719	648.0	422.0
122	162821at33208	Duplicated	NODE_12629_length_4330_cov_79.333803_g5048_i1:395-2719	648.0	422.0
123	162821at33208	Duplicated	NODE_18684_length_3597_cov_47.861805_g8118_i0:3396-1111	625.4	396.0
124	164767at33208	Duplicated	NODE_22498_length_3282_cov_591.374572_g9707_i0:3212-702	864.1	652.0
125	164767at33208	Duplicated	NODE_19134_length_3559_cov_36.630235_g8306_i0:3394-713	856.1	691.0
126	166097at33208	Duplicated	NODE_21671_length_3344_cov_110.025986_g9352_i0:3220-1445	809.8	491.0
127	166097at33208	Duplicated	NODE_22103_length_3312_cov_112.123186_g9352_i2:3188-1413	809.8	491.0
128	166097at33208	Duplicated	NODE_40643_length_2314_cov_97.904507_g17513_i0:185-1948	688.9	491.0
129	168850at33208	Duplicated	NODE_32763_length_2654_cov_158.239055_g14134_i0:431-2306	747.1	529.0
130	168850at33208	Duplicated	NODE_30400_length_2776_cov_26.743248_g13122_i0:2671-773	711.3	550.0
131	168924at33208	Duplicated	NODE_17331_length_3735_cov_37.467504_g7567_i0:65-2710	573.8	554.0
132	168924at33208	Duplicated	NODE_15518_length_3938_cov_101.376973_g6781_i0:3933-1210	565.2	580.0
133	169864at33208	Duplicated	NODE_33146_length_2635_cov_72.148712_g14294_i0:151-2028	518.6	535.0
134	169864at33208	Duplicated	NODE_19508_length_3523_cov_78.031594_g8460_i0:2973-892	453.6	560.0
135	172677at33208	Duplicated	NODE_20208_length_3464_cov_155.416986_g8753_i0:11-2515	212.4	223.0
136	172677at33208	Duplicated	NODE_36099_length_2498_cov_27.581031_g15594_i0:63-2228	194.4	217.0
137	176247at33208	Complete	NODE_52713_length_1921_cov_35.183983_g22919_i0:54-1820	381.1	334.0
138	177718at33208	Complete	NODE_44583_length_2171_cov_25.656339_g19210_i0:2075-129	521.9	394.0
139	177858at33208	Duplicated	NODE_13313_length_4230_cov_31.075295_g5836_i0:4131-1924	947.8	585.0
140	177858at33208	Duplicated	NODE_35303_length_2534_cov_46.806583_g15240_i0:69-2243	873.9	583.0
141	178537at33208	Complete	NODE_28717_length_2870_cov_26.592420_g12384_i0:46-1692	971.7	465.0
142	179485at33208	Duplicated	NODE_27365_length_2945_cov_117.108983_g11805_i0:2383-584	681.6	482.0
143	179485at33208	Duplicated	NODE_13088_length_4265_cov_132.541269_g5748_i0:53-1849	651.7	521.0
144	180808at33208	Complete	NODE_52045_length_1940_cov_35.948581_g22616_i0:270-1937	735.1	454.0
145	182834at33208	Duplicated	NODE_10742_length_4637_cov_47.154689_g3716_i3:4611-2215	681.6	501.0
146	182834at33208	Duplicated	NODE_25208_length_3090_cov_58.559496_g3716_i14:3064-668	681.6	501.0
147	182834at33208	Duplicated	NODE_24254_length_3153_cov_25.156494_g10466_i0:794-2512	586.4	498.0
148	184508at33208	Duplicated	NODE_10897_length_4609_cov_206.877646_g4372_i1:1-2685	689.7	446.0
149	184508at33208	Duplicated	NODE_9855_length_4809_cov_199.029983_g4372_i0:1-2724	686.9	463.0
150	184508at33208	Duplicated	NODE_23032_length_3239_cov_108.739103_g6768_i1:3-2726	685.3	539.0
151	184717at33208	Duplicated	NODE_35128_length_2542_cov_95.930741_g11651_i1:226-2028	917.0	499.0
152	184717at33208	Duplicated	NODE_8282_length_5141_cov_607.492699_g3733_i0:113-1954	905.3	521.0
153	184717at33208	Duplicated	NODE_8567_length_5073_cov_587.726200_g3733_i1:113-1954	905.3	521.0
154	186208at33208	Duplicated	NODE_20441_length_3444_cov_69.408187_g8832_i0:3344-348	1169.1	707.0
155	186208at33208	Duplicated	NODE_22377_length_3293_cov_103.864907_g9656_i0:3167-258	1008.6	682.0
156	186707at33208	Duplicated	NODE_37364_length_2443_cov_175.556962_g16128_i0:2282-156	473.8	509.0
157	186707at33208	Duplicated	NODE_38784_length_2386_cov_182.712495_g16128_i1:2225-156	473.8	509.0
158	186707at33208	Duplicated	NODE_24316_length_3148_cov_51261.481626_g10486_i0:2252-165	451.7	502.0
159	187280at33208	Duplicated	NODE_3947_length_6719_cov_75.230515_g333_i22:6679-4490	718.0	518.0
160	187280at33208	Duplicated	NODE_4067_length_6652_cov_76.164159_g333_i23:6612-4423	718.0	518.0
161	189414at33208	Duplicated	NODE_3556_length_6926_cov_33.994601_g1672_i0:3955-2258	505.9	459.0
162	189414at33208	Duplicated	NODE_27813_length_2917_cov_38.350211_g12004_i0:2722-194	471.1	550.0
163	190726at33208	Duplicated	NODE_28296_length_2890_cov_1581.537096_g12214_i0:84-1688	599.8	397.0
164	190726at33208	Duplicated	NODE_37382_length_2442_cov_1348.258337_g12214_i3:84-1688	599.8	397.0
165	190726at33208	Duplicated	NODE_41606_length_2276_cov_1836.487517_g12214_i4:84-1688	599.8	397.0
166	190726at33208	Duplicated	NODE_20100_length_3473_cov_280.434706_g8707_i0:3389-1785	522.0	398.0
167	191938at33208	Complete	NODE_20553_length_3434_cov_12.373103_g8885_i0:66-2045	403.8	458.0
168	192250at33208	Duplicated	NODE_3912_length_6733_cov_82.895646_g1836_i0:6608-4866	434.2	296.0
169	192250at33208	Duplicated	NODE_37540_length_2436_cov_60.618705_g16211_i0:2410-608	408.1	310.0
170	194754at33208	Duplicated	NODE_24455_length_3140_cov_69.609390_g3384_i5:285-3017	1176.0	772.0
171	194754at33208	Duplicated	NODE_16603_length_3806_cov_235.957139_g7245_i0:3536-816	1135.9	773.0
172	195986at33208	Duplicated	NODE_15717_length_3913_cov_19.816406_g3551_i2:64-2436	930.7	595.0
173	195986at33208	Duplicated	NODE_7878_length_5241_cov_30.177245_g3551_i0:64-2436	930.7	595.0
174	196950at33208	Duplicated	NODE_24677_length_3125_cov_40.796855_g10634_i0:2959-425	720.6	628.0
175	196950at33208	Duplicated	NODE_18990_length_3570_cov_117.073206_g8257_i0:185-2743	660.5	693.0
176	197549at33208	Complete	NODE_29666_length_2815_cov_53.323851_g12813_i0:269-2113	441.4	414.0
177	197652at33208	Duplicated	NODE_52997_length_1913_cov_82.993478_g23071_i0:158-1693	755.8	439.0
178	197652at33208	Duplicated	NODE_32409_length_2670_cov_782.688102_g13984_i0:78-1616	741.1	435.0
179	200997at33208	Duplicated	NODE_29676_length_2814_cov_163.502736_g12820_i0:2247-634	570.5	461.0
180	200997at33208	Duplicated	NODE_57426_length_1798_cov_93.922319_g25140_i0:115-1743	525.0	479.0
181	201397at33208	Complete	NODE_6609_length_5596_cov_77.991128_g3024_i0:5462-3399	753.2	485.0
182	202545at33208	Duplicated	NODE_29859_length_2803_cov_464.746886_g10330_i2:103-1674	555.4	388.0
183	202545at33208	Duplicated	NODE_24841_length_3114_cov_55.865505_g10330_i1:3010-1367	555.0	388.0
184	202545at33208	Duplicated	NODE_23966_length_3174_cov_55.027411_g10330_i0:3070-1367	554.6	388.0
185	202545at33208	Duplicated	NODE_26437_length_3004_cov_75.878881_g11402_i0:791-2443	535.0	379.0
186	203128at33208	Complete	NODE_64911_length_1626_cov_413.957502_g3229_i9:116-1624	875.8	435.0
187	203698at33208	Duplicated	NODE_15856_length_3895_cov_83.512821_g6931_i0:3837-379	1059.8	776.0
188	203698at33208	Duplicated	NODE_15415_length_3950_cov_52.420428_g6738_i0:97-3720	1006.6	811.0
189	205220at33208	Complete	NODE_21930_length_3324_cov_21.689019_g9465_i0:3216-907	1097.6	644.0
190	206786at33208	Duplicated	NODE_44405_length_2177_cov_57.458175_g19133_i0:110-1585	531.8	374.0
191	206786at33208	Duplicated	NODE_44666_length_2168_cov_109.369928_g19259_i0:601-2076	517.7	382.0
192	206786at33208	Duplicated	NODE_49464_length_2016_cov_117.220278_g19259_i1:449-1924	517.7	382.0
193	206858at33208	Duplicated	NODE_45628_length_2136_cov_55.522540_g19696_i0:11-2047	557.2	515.0
194	206858at33208	Duplicated	NODE_38637_length_2392_cov_77.629582_g16667_i0:2227-239	524.8	506.0
195	207599at33208	Duplicated	NODE_41094_length_2297_cov_18.905576_g17697_i0:34-1956	460.7	374.0
196	207599at33208	Duplicated	NODE_32981_length_2643_cov_49.219066_g14228_i0:48-1889	435.7	374.0
197	208219at33208	Duplicated	NODE_1674_length_8601_cov_66.144817_g852_i0:172-1893	352.7	458.0
198	208219at33208	Duplicated	NODE_22270_length_3302_cov_92.432332_g9608_i0:2835-1390	334.2	382.0
199	208219at33208	Duplicated	NODE_22607_length_3273_cov_89.032500_g9608_i1:2806-1361	334.2	382.0
200	210614at33208	Duplicated	NODE_18466_length_3618_cov_46.845134_g8028_i0:99-2663	639.7	662.0
201	210614at33208	Duplicated	NODE_25982_length_3034_cov_29.093887_g11202_i0:92-2767	571.6	668.0
202	212972at33208	Complete	NODE_33943_length_2596_cov_31.575109_g14644_i0:214-2247	692.4	538.0
203	214788at33208	Complete	NODE_38011_length_2417_cov_101.012372_g16393_i0:2355-499	572.0	534.0
204	215654at33208	Duplicated	NODE_24487_length_3138_cov_280.045024_g10562_i0:89-1588	635.4	405.0
205	215654at33208	Duplicated	NODE_46315_length_2114_cov_106.704067_g19996_i0:371-1870	613.6	415.0
206	216257at33208	Duplicated	NODE_27613_length_2929_cov_73.376401_g11913_i0:2527-401	488.5	337.0
207	216257at33208	Duplicated	NODE_32108_length_2685_cov_17.549005_g13864_i0:329-2422	476.3	337.0
208	216563at33208	Complete	NODE_41270_length_2289_cov_30.561372_g17774_i0:572-2212	283.7	299.0
209	218441at33208	Complete	NODE_16966_length_3769_cov_70.712933_g7400_i0:102-2399	211.1	226.0
210	219795at33208	Duplicated	NODE_30283_length_2782_cov_18.029900_g13067_i0:2490-412	497.2	520.0
211	219795at33208	Duplicated	NODE_23036_length_3239_cov_68.936513_g9951_i0:3129-1252	484.6	518.0
212	219856at33208	Duplicated	NODE_51009_length_1970_cov_58.818661_g22140_i0:283-1671	666.5	394.0
213	219856at33208	Duplicated	NODE_18780_length_3590_cov_129.135058_g8158_i0:3447-2011	639.7	394.0
214	222489at33208	Complete	NODE_21574_length_3352_cov_54.444953_g9308_i0:3193-1784	689.3	358.0
215	223234at33208	Duplicated	NODE_39154_length_2371_cov_22.788512_g16888_i0:2363-1005	301.2	325.0
216	223234at33208	Duplicated	NODE_41643_length_2275_cov_82.999546_g17938_i0:239-1663	293.5	349.0
217	224280at33208	Duplicated	NODE_35754_length_2512_cov_192.821648_g15446_i0:133-1629	798.4	439.0
218	224280at33208	Duplicated	NODE_68528_length_1552_cov_16.962137_g30628_i0:87-1550	792.0	439.0
219	224280at33208	Duplicated	NODE_22880_length_3252_cov_134.242529_g9881_i0:3100-1610	773.8	439.0
220	226335at33208	Complete	NODE_16362_length_3835_cov_64.976342_g7137_i0:3709-2405	599.1	364.0
221	226941at33208	Duplicated	NODE_11096_length_4576_cov_111.841661_g4895_i0:4215-2704	565.5	395.0
222	226941at33208	Duplicated	NODE_11450_length_4516_cov_113.095881_g4895_i2:4155-2644	565.5	395.0
223	226941at33208	Duplicated	NODE_49894_length_2003_cov_14.935233_g21637_i0:1812-355	548.7	393.0
224	227087at33208	Complete	NODE_13521_length_4201_cov_47.346172_g5922_i0:38-3259	628.1	712.0
225	227453at33208	Duplicated	NODE_38225_length_2409_cov_140.241010_g16489_i0:2236-500	649.5	444.0
226	227453at33208	Duplicated	NODE_38839_length_2384_cov_136.778018_g16489_i1:2211-475	649.5	444.0
227	227453at33208	Duplicated	NODE_33451_length_2619_cov_27.250589_g14424_i0:2596-875	609.7	441.0
228	227453at33208	Duplicated	NODE_34113_length_2588_cov_29.216700_g14424_i1:2565-844	609.7	441.0
229	227979at33208	Complete	NODE_6837_length_5522_cov_228.135071_g3130_i0:103-2208	849.1	593.0
230	231157at33208	Duplicated	NODE_34794_length_2557_cov_108.048309_g15013_i0:2463-868	583.3	430.0
231	231157at33208	Duplicated	NODE_36042_length_2500_cov_54.665431_g15567_i0:2351-762	563.3	423.0
232	231700at33208	Complete	NODE_5493_length_6015_cov_16.009088_g2529_i0:991-5055	364.5	662.0
233	234290at33208	Duplicated	NODE_3645_length_6882_cov_209.930386_g1712_i0:6248-4719	764.3	472.0
234	234290at33208	Duplicated	NODE_15602_length_3929_cov_40.174015_g6819_i0:295-1920	731.6	472.0
235	235149at33208	Duplicated	NODE_45543_length_2139_cov_132.154405_g19652_i0:15-1976	371.2	466.0
236	235149at33208	Duplicated	NODE_38786_length_2386_cov_142.423692_g16733_i0:118-2145	356.5	462.0
237	235430at33208	Duplicated	NODE_37627_length_2432_cov_157.461636_g16235_i0:2431-935	440.6	368.0
238	235430at33208	Duplicated	NODE_3918_length_6730_cov_25.166291_g1837_i0:6398-4869	403.6	353.0
239	235458at33208	Duplicated	NODE_18515_length_3613_cov_172.707910_g8049_i0:3179-1065	418.3	377.0
240	235458at33208	Duplicated	NODE_16051_length_3871_cov_51.335703_g5063_i1:2706-1327	393.9	327.0
241	239016at33208	Complete	NODE_61298_length_1707_cov_13.232558_g27032_i0:1564-26	415.7	398.0
243	239597at33208	Duplicated	NODE_33827_length_2601_cov_53.197389_g13843_i1:149-2236	421.3	528.0
244	239597at33208	Duplicated	NODE_32076_length_2686_cov_50.221967_g13843_i0:149-2321	413.6	603.0
245	239597at33208	Duplicated	NODE_43453_length_2210_cov_176.258306_g18700_i0:114-2084	381.2	523.0
246	240437at33208	Duplicated	NODE_97912_length_1105_cov_54.174419_g47651_i0:73-990	419.6	247.0
247	240437at33208	Duplicated	NODE_20603_length_3430_cov_32.788204_g8901_i0:173-1039	411.5	244.0
248	240437at33208	Duplicated	NODE_23137_length_3231_cov_23.543382_g8901_i3:173-1039	411.5	244.0
249	244863at33208	Duplicated	NODE_9135_length_4947_cov_123.355560_g4082_i0:46-2376	537.8	519.0
250	244863at33208	Duplicated	NODE_28704_length_2870_cov_184.590990_g12376_i0:34-2328	532.4	514.0
251	244863at33208	Duplicated	NODE_29640_length_2816_cov_136.764491_g12376_i1:2781-691	510.3	487.0
252	245482at33208	Duplicated	NODE_43041_length_2225_cov_14114.227695_g4416_i2:1957-587	520.9	368.0
253	245482at33208	Duplicated	NODE_9975_length_4786_cov_182.741990_g4416_i0:267-1637	520.9	368.0
254	245482at33208	Duplicated	NODE_51508_length_1955_cov_283.864506_g22372_i0:67-1821	487.6	394.0
255	245567at33208	Duplicated	NODE_22764_length_3262_cov_255.833177_g9824_i0:3114-952	594.8	461.0
256	245567at33208	Duplicated	NODE_28601_length_2875_cov_266.613490_g9824_i1:2727-934	529.0	406.0
257	246241at33208	Duplicated	NODE_34019_length_2592_cov_51.250496_g14677_i0:198-1538	540.2	381.0
