GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0043620	regulation of DNA-templated transcriptio...	73	36	4.52	4.2e-25
GO:0002753	cytoplasmic pattern recognition receptor...	56	32	3.47	4.6e-25
GO:0006605	protein targeting	420	84	26	1.1e-24
GO:0007339	binding of sperm to zona pellucida	68	34	4.21	5.3e-24
GO:0035036	sperm-egg recognition	68	34	4.21	5.3e-24
GO:0002181	cytoplasmic translation	430	84	26.62	6.4e-24
GO:0002931	response to ischemia	83	37	5.14	8.4e-24
GO:0010822	positive regulation of mitochondrion org...	52	30	3.22	1.0e-23
GO:0031397	negative regulation of protein ubiquitin...	84	37	5.2	1.4e-23
GO:0070059	intrinsic apoptotic signaling pathway in...	61	32	3.78	1.7e-23
GO:0051092	positive regulation of NF-kappaB transcr...	85	37	5.26	2.4e-23
GO:0031109	microtubule polymerization or depolymeri...	107	41	6.62	3.2e-23
GO:1903573	negative regulation of response to endop...	71	34	4.4	3.3e-23
GO:0010823	negative regulation of mitochondrion org...	62	32	3.84	3.4e-23
GO:0007006	mitochondrial membrane organization	114	42	7.06	5.5e-23
GO:0006457	protein folding	300	68	18.57	5.6e-23
GO:0090101	negative regulation of transmembrane rec...	72	34	4.46	5.9e-23
GO:0009408	response to heat	214	57	13.25	6.6e-23
GO:0007179	transforming growth factor beta receptor...	88	37	5.45	1.1e-22
GO:0038034	signal transduction in absence of ligand	60	31	3.71	1.6e-22
GO:0097192	extrinsic apoptotic signaling pathway in...	60	31	3.71	1.6e-22
GO:0090288	negative regulation of cellular response...	74	34	4.58	1.8e-22
GO:1903321	negative regulation of protein modificat...	90	37	5.57	2.8e-22
GO:0046902	regulation of mitochondrial membrane per...	70	33	4.33	2.8e-22
GO:0045639	positive regulation of myeloid cell diff...	61	31	3.78	3.1e-22
GO:0009988	cell-cell recognition	75	34	4.64	3.2e-22
GO:0034655	nucleobase-containing compound catabolic...	608	99	37.64	3.9e-22
GO:0090559	regulation of membrane permeability	71	33	4.4	5.0e-22
GO:0062207	regulation of pattern recognition recept...	62	31	3.84	5.9e-22
GO:0006626	protein targeting to mitochondrion	67	32	4.15	7.6e-22
GO:0060236	regulation of mitotic spindle organizati...	63	31	3.9	1.1e-21
GO:2001237	negative regulation of extrinsic apoptot...	63	31	3.9	1.1e-21
GO:0032273	positive regulation of protein polymeriz...	105	39	6.5	1.6e-21
GO:1903533	regulation of protein targeting	55	29	3.41	1.9e-21
GO:0031396	regulation of protein ubiquitination	130	43	8.05	2.3e-21
GO:0000723	telomere maintenance	106	39	6.56	2.3e-21
GO:0032200	telomere organization	106	39	6.56	2.3e-21
GO:0046700	heterocycle catabolic process	626	99	38.76	3.8e-21
GO:0030308	negative regulation of cell growth	91	36	5.63	5.1e-21
GO:0043154	negative regulation of cysteine-type end...	91	36	5.63	5.1e-21
GO:0090316	positive regulation of intracellular pro...	91	36	5.63	5.1e-21
GO:0035966	response to topologically incorrect prot...	181	50	11.21	7.4e-21
GO:2000117	negative regulation of cysteine-type end...	92	36	5.7	7.9e-21
GO:0019439	aromatic compound catabolic process	634	99	39.25	1.0e-20
GO:0090224	regulation of spindle organization	67	31	4.15	1.2e-20
GO:0033120	positive regulation of RNA splicing	72	32	4.46	1.2e-20
GO:0071560	cellular response to transforming growth...	105	38	6.5	1.6e-20
GO:1905897	regulation of response to endoplasmic re...	83	34	5.14	1.8e-20
GO:0044270	cellular nitrogen compound catabolic pro...	639	99	39.56	1.9e-20
GO:0006886	intracellular protein transport	788	112	48.79	2.3e-20
GO:0030218	erythrocyte differentiation	101	37	6.25	3.2e-20
GO:2001236	regulation of extrinsic apoptotic signal...	74	32	4.58	3.5e-20
GO:0044271	cellular nitrogen compound biosynthetic ...	1935	194	119.8	4.3e-20
GO:1903708	positive regulation of hemopoiesis	91	35	5.63	5.6e-20
GO:0016071	mRNA metabolic process	763	109	47.24	6.8e-20
GO:0032436	positive regulation of proteasomal ubiqu...	86	34	5.32	7.0e-20
GO:2000060	positive regulation of ubiquitin-depende...	86	34	5.32	7.0e-20
GO:0045637	regulation of myeloid cell differentiati...	103	37	6.38	7.1e-20
GO:0090092	regulation of transmembrane receptor pro...	103	37	6.38	7.1e-20
GO:1901361	organic cyclic compound catabolic proces...	651	99	40.31	8.0e-20
GO:0090307	mitotic spindle assembly	71	31	4.4	9.8e-20
GO:0002262	myeloid cell homeostasis	116	39	7.18	1.0e-19
GO:0034101	erythrocyte homeostasis	116	39	7.18	1.0e-19
GO:0009266	response to temperature stimulus	271	60	16.78	1.2e-19
GO:0033157	regulation of intracellular protein tran...	143	43	8.85	1.5e-19
GO:0071559	response to transforming growth factor b...	112	38	6.93	2.2e-19
GO:0072655	establishment of protein localization to...	78	32	4.83	2.4e-19
GO:0070585	protein localization to mitochondrion	79	32	4.89	3.8e-19
GO:2000058	regulation of ubiquitin-dependent protei...	121	39	7.49	5.6e-19
GO:0007338	single fertilization	128	40	7.93	6.7e-19
GO:0032271	regulation of protein polymerization	170	46	10.53	8.3e-19
GO:0032434	regulation of proteasomal ubiquitin-depe...	110	37	6.81	9.4e-19
GO:0006986	response to unfolded protein	152	43	9.41	2.0e-18
GO:0050821	protein stabilization	181	47	11.21	2.1e-18
GO:0046907	intracellular transport	1189	140	73.62	2.1e-18
GO:0043281	regulation of cysteine-type endopeptidas...	146	42	9.04	2.7e-18
GO:0008637	apoptotic mitochondrial changes	95	34	5.88	2.9e-18
GO:0035967	cellular response to topologically incor...	154	43	9.53	3.5e-18
GO:2001243	negative regulation of intrinsic apoptot...	129	39	7.99	7.1e-18
GO:0090287	regulation of cellular response to growt...	116	37	7.18	7.2e-18
GO:2001242	regulation of intrinsic apoptotic signal...	180	46	11.14	1.0e-17
GO:0009566	fertilization	144	41	8.92	1.1e-17
GO:2000116	regulation of cysteine-type endopeptidas...	152	42	9.41	1.4e-17
GO:1903320	regulation of protein modification by sm...	160	43	9.91	1.7e-17
GO:0071356	cellular response to tumor necrosis fact...	119	37	7.37	1.9e-17
GO:0051258	protein polymerization	183	46	11.33	2.1e-17
GO:0051225	spindle assembly	113	36	7	2.2e-17
GO:0007178	transmembrane receptor protein serine/th...	140	40	8.67	2.4e-17
GO:0002221	pattern recognition receptor signaling p...	89	32	5.51	2.6e-17
GO:0034612	response to tumor necrosis factor	121	37	7.49	3.5e-17
GO:0010629	negative regulation of gene expression	1040	126	64.39	4.2e-17
GO:0006839	mitochondrial transport	165	43	10.22	6.1e-17
GO:0034645	cellular macromolecule biosynthetic proc...	1786	178	110.58	6.1e-17
GO:0010821	regulation of mitochondrion organization	98	33	6.07	7.9e-17
GO:0051091	positive regulation of DNA-binding trans...	124	37	7.68	8.8e-17
GO:1903706	regulation of hemopoiesis	160	42	9.91	1.1e-16
GO:0097193	intrinsic apoptotic signaling pathway	218	49	13.5	2.4e-16
GO:0010466	negative regulation of peptidase activit...	135	38	8.36	2.9e-16
GO:0097191	extrinsic apoptotic signaling pathway	102	33	6.32	3.1e-16
GO:1901800	positive regulation of proteasomal prote...	109	34	6.75	3.8e-16
GO:0051345	positive regulation of hydrolase activit...	221	49	13.68	4.3e-16
GO:0007088	regulation of mitotic nuclear division	110	34	6.81	5.2e-16
GO:0032388	positive regulation of intracellular tra...	124	36	7.68	6.3e-16
GO:0048872	homeostasis of number of cells	160	41	9.91	6.7e-16
GO:0045861	negative regulation of proteolysis	176	43	10.9	8.1e-16
GO:1902905	positive regulation of supramolecular fi...	125	36	7.74	8.4e-16
GO:0009059	macromolecule biosynthetic process	1827	178	113.12	8.9e-16
GO:0034620	cellular response to unfolded protein	126	36	7.8	1.1e-15
GO:0010951	negative regulation of endopeptidase act...	133	37	8.23	1.1e-15
GO:1903052	positive regulation of proteolysis invol...	113	34	7	1.3e-15
GO:0001819	positive regulation of cytokine producti...	156	40	9.66	1.5e-15
GO:0016567	protein ubiquitination	212	47	13.13	1.9e-15
GO:0006281	DNA repair	150	39	9.29	2.2e-15
GO:0007052	mitotic spindle organization	115	34	7.12	2.4e-15
GO:0031647	regulation of protein stability	224	48	13.87	3.8e-15
GO:0034599	cellular response to oxidative stress	224	48	13.87	3.8e-15
GO:2001233	regulation of apoptotic signaling pathwa...	224	48	13.87	3.8e-15
GO:0045089	positive regulation of innate immune res...	111	33	6.87	5.2e-15
GO:0010608	post-transcriptional regulation of gene ...	530	79	32.81	5.9e-15
GO:0002764	immune response-regulating signaling pat...	155	39	9.6	7.2e-15
GO:0031334	positive regulation of protein-containin...	171	41	10.59	8.3e-15
GO:0015031	protein transport	1016	119	62.9	9.7e-15
GO:2001234	negative regulation of apoptotic signali...	158	39	9.78	1.4e-14
GO:0045732	positive regulation of protein catabolic...	143	37	8.85	1.4e-14
GO:0051051	negative regulation of transport	207	45	12.82	1.8e-14
GO:0015833	peptide transport	1025	119	63.46	1.9e-14
GO:0043488	regulation of mRNA stability	152	38	9.41	2.1e-14
GO:0045184	establishment of protein localization	1066	122	66	2.2e-14
GO:1903050	regulation of proteolysis involved in pr...	168	40	10.4	2.4e-14
GO:0030099	myeloid cell differentiation	176	41	10.9	2.4e-14
GO:0032446	protein modification by small protein co...	226	47	13.99	2.6e-14
GO:0061136	regulation of proteasomal protein catabo...	153	38	9.47	2.6e-14
GO:0009205	purine ribonucleoside triphosphate metab...	366	62	22.66	2.8e-14
GO:0008037	cell recognition	177	41	10.96	3.0e-14
GO:0009144	purine nucleoside triphosphate metabolic...	367	62	22.72	3.2e-14
GO:0043487	regulation of RNA stability	154	38	9.53	3.3e-14
GO:0051495	positive regulation of cytoskeleton orga...	139	36	8.61	3.3e-14
GO:0070507	regulation of microtubule cytoskeleton o...	162	39	10.03	3.5e-14
GO:0051783	regulation of nuclear division	132	35	8.17	3.5e-14
GO:0009199	ribonucleoside triphosphate metabolic pr...	368	62	22.78	3.7e-14
GO:0001817	regulation of cytokine production	195	43	12.07	4.2e-14
GO:0061013	regulation of mRNA catabolic process	156	38	9.66	5.1e-14
GO:0009141	nucleoside triphosphate metabolic proces...	371	62	22.97	5.5e-14
GO:0009612	response to mechanical stimulus	180	41	11.14	5.5e-14
GO:0062197	cellular response to chemical stress	248	49	15.35	5.5e-14
GO:0044265	cellular macromolecule catabolic process	824	102	51.02	6.8e-14
GO:0007346	regulation of mitotic cell cycle	314	56	19.44	6.9e-14
GO:0001816	cytokine production	217	45	13.44	1.1e-13
GO:0042886	amide transport	1049	119	64.95	1.2e-13
GO:0052547	regulation of peptidase activity	209	44	12.94	1.2e-13
GO:0044249	cellular biosynthetic process	2288	201	141.66	1.3e-13
GO:0032386	regulation of intracellular transport	227	46	14.05	1.4e-13
GO:0006614	SRP-dependent cotranslational protein ta...	272	51	16.84	1.4e-13
GO:0051090	regulation of DNA-binding transcription ...	153	37	9.47	1.5e-13
GO:0010605	negative regulation of macromolecule met...	1243	133	76.96	1.6e-13
GO:0052548	regulation of endopeptidase activity	202	43	12.51	1.6e-13
GO:0140694	non-membrane-bounded organelle assembly	400	64	24.77	1.6e-13
GO:0046677	response to antibiotic	340	58	21.05	1.7e-13
GO:0043085	positive regulation of catalytic activit...	401	64	24.83	1.9e-13
GO:0007051	spindle organization	171	39	10.59	2.3e-13
GO:0006613	cotranslational protein targeting to mem...	277	51	17.15	3.0e-13
GO:0071363	cellular response to growth factor stimu...	297	53	18.39	3.6e-13
GO:0032886	regulation of microtubule-based process	174	39	10.77	4.3e-13
GO:1901576	organic substance biosynthetic process	2326	202	144.01	4.3e-13
GO:0051649	establishment of localization in cell	1643	159	101.72	6.8e-13
GO:1902115	regulation of organelle assembly	116	31	7.18	9.2e-13
GO:0002833	positive regulation of response to bioti...	131	33	8.11	9.9e-13
GO:0070848	response to growth factor	305	53	18.88	1.1e-12
GO:0009058	biosynthetic process	2345	202	145.19	1.2e-12
GO:0006413	translational initiation	386	61	23.9	1.2e-12
GO:0001558	regulation of cell growth	197	41	12.2	1.4e-12
GO:0009126	purine nucleoside monophosphate metaboli...	337	56	20.87	1.5e-12
GO:0009167	purine ribonucleoside monophosphate meta...	337	56	20.87	1.5e-12
GO:0097190	apoptotic signaling pathway	289	51	17.89	1.7e-12
GO:0045047	protein targeting to ER	291	51	18.02	2.2e-12
GO:0009161	ribonucleoside monophosphate metabolic p...	341	56	21.11	2.5e-12
GO:0009892	negative regulation of metabolic process	1357	138	84.02	2.6e-12
GO:0046034	ATP metabolic process	352	57	21.79	2.8e-12
GO:1902850	microtubule cytoskeleton organization in...	168	37	10.4	3.2e-12
GO:0006412	translation	873	102	54.05	3.3e-12
GO:0045862	positive regulation of proteolysis	202	41	12.51	3.3e-12
GO:0072599	establishment of protein localization to...	295	51	18.26	3.9e-12
GO:0010639	negative regulation of organelle organiz...	230	44	14.24	4.2e-12
GO:0051346	negative regulation of hydrolase activit...	195	40	12.07	4.4e-12
GO:0000184	nuclear-transcribed mRNA catabolic proce...	306	52	18.95	4.6e-12
GO:0009123	nucleoside monophosphate metabolic proce...	346	56	21.42	4.7e-12
GO:0051276	chromosome organization	451	66	27.92	4.8e-12
GO:0016049	cell growth	287	50	17.77	4.9e-12
GO:0090150	establishment of protein localization to...	367	58	22.72	5.1e-12
GO:0043254	regulation of protein-containing complex...	317	53	19.63	5.3e-12
GO:0045088	regulation of innate immune response	155	35	9.6	6.1e-12
GO:0045666	positive regulation of neuron differenti...	242	45	14.98	6.5e-12
GO:0030522	intracellular receptor signaling pathway	190	39	11.76	8.2e-12
GO:0070972	protein localization to endoplasmic reti...	313	52	19.38	1.1e-11
GO:0010467	gene expression	2072	183	128.29	1.2e-11
GO:0031349	positive regulation of defense response	152	34	9.41	1.7e-11
GO:1902903	regulation of supramolecular fiber organ...	230	43	14.24	1.7e-11
GO:0070925	organelle assembly	498	69	30.83	2.0e-11
GO:0006518	peptide metabolic process	990	109	61.29	2.1e-11
GO:0006612	protein targeting to membrane	308	51	19.07	2.1e-11
GO:0019221	cytokine-mediated signaling pathway	241	44	14.92	2.2e-11
GO:0043043	peptide biosynthetic process	900	102	55.72	2.3e-11
GO:0009057	macromolecule catabolic process	926	104	57.33	2.3e-11
GO:0042176	regulation of protein catabolic process	215	41	13.31	2.8e-11
GO:0045471	response to ethanol	215	41	13.31	2.8e-11
GO:1904951	positive regulation of establishment of ...	235	43	14.55	3.6e-11
GO:0051726	regulation of cell cycle	494	68	30.59	3.9e-11
GO:0034641	cellular nitrogen compound metabolic pro...	2553	210	158.07	4.0e-11
GO:0043086	negative regulation of catalytic activit...	296	49	18.33	5.7e-11
GO:0051222	positive regulation of protein transport	211	40	13.06	6.0e-11
GO:0060249	anatomical structure homeostasis	239	43	14.8	6.4e-11
GO:0071705	nitrogen compound transport	1170	121	72.44	6.4e-11
GO:0050769	positive regulation of neurogenesis	258	45	15.97	6.4e-11
GO:0051641	cellular localization	1952	173	120.86	1.0e-10
GO:0080135	regulation of cellular response to stres...	321	51	19.87	1.0e-10
GO:1903311	regulation of mRNA metabolic process	302	49	18.7	1.2e-10
GO:0000956	nuclear-transcribed mRNA catabolic proce...	364	55	22.54	1.3e-10
GO:0006974	cellular response to DNA damage stimulus	244	43	15.11	1.3e-10
GO:0007017	microtubule-based process	485	66	30.03	1.4e-10
GO:0050790	regulation of catalytic activity	675	82	41.79	1.6e-10
GO:0071345	cellular response to cytokine stimulus	432	61	26.75	1.8e-10
GO:0044093	positive regulation of molecular functio...	512	68	31.7	2.0e-10
GO:0009150	purine ribonucleotide metabolic process	445	62	27.55	2.2e-10
GO:0140014	mitotic nuclear division	202	38	12.51	2.4e-10
GO:0006163	purine nucleotide metabolic process	447	62	27.68	2.6e-10
GO:0031331	positive regulation of cellular cataboli...	221	40	13.68	2.7e-10
GO:0008104	protein localization	1307	129	80.92	2.7e-10
GO:0010564	regulation of cell cycle process	340	52	21.05	2.8e-10
GO:0006979	response to oxidative stress	351	53	21.73	3.0e-10
GO:0043484	regulation of RNA splicing	260	44	16.1	3.0e-10
GO:1902533	positive regulation of intracellular sig...	320	50	19.81	3.0e-10
GO:0045926	negative regulation of growth	186	36	11.52	3.3e-10
GO:0009628	response to abiotic stimulus	773	89	47.86	3.7e-10
GO:0009259	ribonucleotide metabolic process	451	62	27.92	3.8e-10
GO:0072521	purine-containing compound metabolic pro...	464	63	28.73	4.5e-10
GO:0050778	positive regulation of immune response	235	41	14.55	5.1e-10
GO:0030097	hemopoiesis	346	52	21.42	5.4e-10
GO:0000226	microtubule cytoskeleton organization	400	57	24.77	5.7e-10
GO:0070201	regulation of establishment of protein l...	336	51	20.8	5.7e-10
GO:0070727	cellular macromolecule localization	1335	130	82.66	5.8e-10
GO:0051223	regulation of protein transport	306	48	18.95	6.4e-10
GO:0000122	negative regulation of transcription by ...	296	47	18.33	6.5e-10
GO:0030162	regulation of proteolysis	348	52	21.55	6.7e-10
GO:0002831	regulation of response to biotic stimulu...	200	37	12.38	7.1e-10
GO:0031400	negative regulation of protein modificat...	287	46	17.77	7.4e-10
GO:0051962	positive regulation of nervous system de...	277	45	17.15	7.5e-10
GO:0061024	membrane organization	436	60	26.99	7.6e-10
GO:0043604	amide biosynthetic process	954	102	59.07	8.5e-10
GO:0010468	regulation of gene expression	1597	147	98.88	1.1e-09
GO:0045892	negative regulation of DNA-templated tra...	418	58	25.88	1.1e-09
GO:0019693	ribose phosphate metabolic process	476	63	29.47	1.3e-09
GO:1903507	negative regulation of nucleic acid-temp...	431	59	26.68	1.4e-09
GO:0090087	regulation of peptide transport	313	48	19.38	1.4e-09
GO:0008285	negative regulation of cell population p...	273	44	16.9	1.5e-09
GO:1902679	negative regulation of RNA biosynthetic ...	433	59	26.81	1.6e-09
GO:0006259	DNA metabolic process	346	51	21.42	1.7e-09
GO:1903047	mitotic cell cycle process	479	63	29.66	1.7e-09
GO:0009896	positive regulation of catabolic process	236	40	14.61	2.1e-09
GO:0051336	regulation of hydrolase activity	403	56	24.95	2.2e-09
GO:0043066	negative regulation of apoptotic process	475	62	29.41	3.3e-09
GO:0071702	organic substance transport	1253	122	77.58	3.3e-09
GO:0048534	hematopoietic or lymphoid organ developm...	364	52	22.54	3.5e-09
GO:0043069	negative regulation of programmed cell d...	476	62	29.47	3.6e-09
GO:0032103	positive regulation of response to exter...	222	38	13.74	4.1e-09
GO:0002520	immune system development	366	52	22.66	4.3e-09
GO:0009314	response to radiation	272	43	16.84	4.5e-09
GO:0033036	macromolecule localization	1480	137	91.63	5.5e-09
GO:0016070	RNA metabolic process	1513	139	93.68	6.5e-09
GO:0034097	response to cytokine	473	61	29.29	7.4e-09
GO:0051129	negative regulation of cellular componen...	361	51	22.35	7.6e-09
GO:0010720	positive regulation of cell development	298	45	18.45	8.3e-09
GO:0043603	cellular amide metabolic process	1111	110	68.79	1.4e-08
GO:0072657	protein localization to membrane	470	60	29.1	1.5e-08
GO:0043161	proteasome-mediated ubiquitin-dependent ...	254	40	15.73	1.9e-08
GO:0000280	nuclear division	296	44	18.33	2.0e-08
GO:0044092	negative regulation of molecular functio...	395	53	24.46	2.3e-08
GO:0007049	cell cycle	773	84	47.86	2.6e-08
GO:0009636	response to toxic substance	466	59	28.85	2.8e-08
GO:0051493	regulation of cytoskeleton organization	310	45	19.19	2.9e-08
GO:0045664	regulation of neuron differentiation	311	45	19.26	3.2e-08
GO:0009719	response to endogenous stimulus	896	93	55.48	3.5e-08
GO:0048285	organelle fission	302	44	18.7	3.8e-08
GO:0000278	mitotic cell cycle	529	64	32.75	3.8e-08
GO:0071495	cellular response to endogenous stimulus	666	75	41.23	4.3e-08
GO:0097305	response to alcohol	293	43	18.14	4.5e-08
GO:0044248	cellular catabolic process	1391	128	86.12	4.5e-08
GO:0044089	positive regulation of cellular componen...	273	41	16.9	4.9e-08
GO:1903829	positive regulation of protein localizat...	294	43	18.2	4.9e-08
GO:0010638	positive regulation of organelle organiz...	316	45	19.56	5.3e-08
GO:0031347	regulation of defense response	243	38	15.05	5.4e-08
GO:0090304	nucleic acid metabolic process	1619	143	100.24	5.6e-08
GO:0048519	negative regulation of biological proces...	1977	166	122.4	5.7e-08
GO:0097435	supramolecular fiber organization	361	49	22.35	5.9e-08
GO:1902532	negative regulation of intracellular sig...	275	41	17.03	6.1e-08
GO:0034976	response to endoplasmic reticulum stress	234	37	14.49	6.1e-08
GO:0008340	determination of adult lifespan	363	49	22.47	7.1e-08
GO:0032101	regulation of response to external stimu...	352	48	21.79	7.2e-08
GO:0006139	nucleobase-containing compound metabolic...	2079	172	128.72	7.3e-08
GO:0008380	RNA splicing	420	54	26	7.4e-08
GO:0022402	cell cycle process	676	75	41.85	8.3e-08
GO:0009117	nucleotide metabolic process	540	64	33.43	8.5e-08
GO:0006753	nucleoside phosphate metabolic process	541	64	33.5	9.2e-08
GO:2000113	negative regulation of cellular macromol...	591	68	36.59	9.9e-08
GO:0050776	regulation of immune response	280	41	17.34	1.0e-07
GO:0006355	regulation of DNA-templated transcriptio...	864	89	53.49	1.2e-07
GO:1901566	organonitrogen compound biosynthetic pro...	1355	124	83.89	1.3e-07
GO:0006810	transport	2133	174	132.06	1.8e-07
GO:0071310	cellular response to organic substance	1050	102	65.01	1.9e-07
GO:0051247	positive regulation of protein metabolic...	665	73	41.17	2.1e-07
GO:0031327	negative regulation of cellular biosynth...	640	71	39.63	2.1e-07
GO:0010558	negative regulation of macromolecule bio...	615	69	38.08	2.1e-07
GO:0007005	mitochondrion organization	387	50	23.96	2.1e-07
GO:0045597	positive regulation of cell differentiat...	410	52	25.38	2.1e-07
GO:0060255	regulation of macromolecule metabolic pr...	1961	163	121.41	2.1e-07
GO:0010259	multicellular organism aging	376	49	23.28	2.2e-07
GO:0034654	nucleobase-containing compound biosynthe...	1166	110	72.19	2.3e-07
GO:0006511	ubiquitin-dependent protein catabolic pr...	299	42	18.51	2.3e-07
GO:0019941	modification-dependent protein catabolic...	299	42	18.51	2.3e-07
GO:0045934	negative regulation of nucleobase-contai...	579	66	35.85	2.3e-07
GO:0010498	proteasomal protein catabolic process	278	40	17.21	2.4e-07
GO:1903506	regulation of nucleic acid-templated tra...	881	89	54.55	3.0e-07
GO:0007167	enzyme-linked receptor protein signaling...	415	52	25.69	3.2e-07
GO:2001141	regulation of RNA biosynthetic process	883	89	54.67	3.3e-07
GO:0055086	nucleobase-containing small molecule met...	573	65	35.48	3.6e-07
GO:0051668	localization within membrane	512	60	31.7	3.6e-07
GO:0043632	modification-dependent macromolecule cat...	304	42	18.82	3.7e-07
GO:1901575	organic substance catabolic process	1235	114	76.46	4.0e-07
