GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0071320	cellular response to cAMP	57	14	5.68	0.00107
GO:0000462	maturation of SSU-rRNA from tricistronic...	45	12	4.48	0.00111
GO:2001244	positive regulation of intrinsic apoptot...	45	12	4.48	0.00111
GO:0033036	macromolecule localization	1480	177	147.45	0.00124
GO:0071480	cellular response to gamma radiation	35	10	3.49	0.00162
GO:0030490	maturation of SSU-rRNA	54	13	5.38	0.00194
GO:0010226	response to lithium ion	43	11	4.28	0.00255
GO:0051641	cellular localization	1952	223	194.48	0.00269
GO:0010468	regulation of gene expression	1597	185	159.11	0.00458
GO:0061844	antimicrobial humoral immune response me...	53	12	5.28	0.00492
GO:2001235	positive regulation of apoptotic signali...	67	14	6.68	0.00535
GO:0006959	humoral immune response	127	22	12.65	0.00651
GO:0044260	cellular macromolecule metabolic process	2436	268	242.7	0.00702
GO:0010332	response to gamma radiation	49	11	4.88	0.00747
GO:2000736	regulation of stem cell differentiation	43	10	4.28	0.00817
GO:0060538	skeletal muscle organ development	130	22	12.95	0.00859
GO:0035967	cellular response to topologically incor...	154	25	15.34	0.00902
GO:0002244	hematopoietic progenitor cell differenti...	44	10	4.38	0.00966
