go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:1902110	4	GO:1901029	0.973	28.7695510786217	0	positive regulation of mitochondrial membrane permeability involved in apoptotic process	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0060700	1	GO:1902380	0.931	28.7695510786217	0	regulation of ribonuclease activity	positive regulation of endoribonuclease activity
GO:0001961	2	GO:0010803	0.965	28.7695510786217	0	positive regulation of cytokine-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0007020	6	GO:0051131	0.498	28.7695510786217	25	microtubule nucleation	chaperone-mediated protein complex assembly
GO:1901673	3	GO:0090063	0.71	28.2518119729938	7	regulation of mitotic spindle assembly	positive regulation of microtubule nucleation
GO:1901099	9	GO:1901099	1	27.7447274948967	0	negative regulation of signal transduction in absence of ligand	negative regulation of signal transduction in absence of ligand
GO:2001240	9	GO:1901099	1	27.7447274948967	1	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	negative regulation of signal transduction in absence of ligand
GO:1903214	7	GO:1903955	1	27.6382721639824	0	regulation of protein targeting to mitochondrion	positive regulation of protein targeting to mitochondrion
GO:0060760	2	GO:0010803	0.965	27.2596373105058	0	positive regulation of response to cytokine stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:0042026	10	GO:0042026	0.999	27.0555173278498	39	protein refolding	protein refolding
GO:0046785	6	GO:0051131	0.511	27	8	microtubule polymerization	chaperone-mediated protein complex assembly
GO:0030512	2	GO:0010803	0.491	26.7447274948967	5	negative regulation of transforming growth factor beta receptor signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0032069	1	GO:1902380	0.919	26.7212463990472	0	regulation of nuclease activity	positive regulation of endoribonuclease activity
GO:1903747	7	GO:1903955	1	26.537602002101	0	regulation of establishment of protein localization to mitochondrion	positive regulation of protein targeting to mitochondrion
GO:0017015	2	GO:0010803	0.497	26.4814860601221	0	regulation of transforming growth factor beta receptor signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0001959	2	GO:0010803	1	26.3872161432803	0	regulation of cytokine-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:1905709	4	GO:1901029	1	26.3565473235138	0	negative regulation of membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0035795	4	GO:1901029	1	26.3565473235138	0	negative regulation of mitochondrial membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1903844	2	GO:0010803	0.497	26.1870866433571	0	regulation of cellular response to transforming growth factor beta stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:2001239	9	GO:1901099	0.898	25.9208187539524	0	regulation of extrinsic apoptotic signaling pathway in absence of ligand	negative regulation of signal transduction in absence of ligand
GO:0006402	11	GO:0006402	0.996	25.8239087409443	22	mRNA catabolic process	mRNA catabolic process
GO:0033209	2	GO:0010803	0.932	25.7958800173441	21	tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0034605	5	GO:0070370	0.797	25.602059991328	21	cellular response to heat	cellular heat acclimation
GO:1902236	12	GO:1902236	1	25.4089353929735	1	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0060759	2	GO:0010803	1	25.3665315444204	0	regulation of response to cytokine stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:0035794	4	GO:1901029	0.973	25.0409586076789	0	positive regulation of mitochondrial membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1902235	12	GO:1902236	1	25.0409586076789	0	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0006401	11	GO:0006402	0.968	24.8860566476932	8	RNA catabolic process	mRNA catabolic process
GO:0090169	3	GO:0090063	0.715	24.7447274948967	0	regulation of spindle assembly	positive regulation of microtubule nucleation
GO:1905710	4	GO:1901029	0.973	24.6777807052661	0	positive regulation of membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0031110	3	GO:0090063	0.829	24.6777807052661	9	regulation of microtubule polymerization or depolymerization	positive regulation of microtubule nucleation
GO:0043618	13	GO:0043618	1	24.6575773191778	1	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0033365	8	GO:0072594	0.958	24.397940008672	2	protein localization to organelle	establishment of protein localization to organelle
GO:0043620	13	GO:0043618	0.981	24.3767507096021	2	regulation of DNA-templated transcription in response to stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0006605	8	GO:0072594	0.79	23.9586073148418	4	protein targeting	establishment of protein localization to organelle
GO:0007339	14	GO:0007339	1	23.2757241303992	1	binding of sperm to zona pellucida	binding of sperm to zona pellucida
GO:0035036	14	GO:0007339	1	23.2757241303992	0	sperm-egg recognition	binding of sperm to zona pellucida
GO:0002181	15	GO:0002181	0.995	23.1938200260161	199	cytoplasmic translation	cytoplasmic translation
GO:0010822	16	GO:0010822	0.999	23	0	positive regulation of mitochondrion organization	positive regulation of mitochondrion organization
GO:0031397	17	GO:0031397	1	22.8538719643218	2	negative regulation of protein ubiquitination	negative regulation of protein ubiquitination
GO:0070059	12	GO:1902236	0.91	22.7695510786217	5	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0051092	1	GO:1902380	0.513	22.6197887582884	5	positive regulation of NF-kappaB transcription factor activity	positive regulation of endoribonuclease activity
GO:0031109	3	GO:0090063	0.774	22.4948500216801	0	microtubule polymerization or depolymerization	positive regulation of microtubule nucleation
GO:1903573	13	GO:0043618	0.393	22.4814860601221	0	negative regulation of response to endoplasmic reticulum stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0010823	16	GO:0010822	0.834	22.4685210829577	0	negative regulation of mitochondrion organization	positive regulation of mitochondrion organization
GO:0007006	18	GO:0007006	0.999	22.2596373105058	5	mitochondrial membrane organization	mitochondrial membrane organization
GO:0006457	10	GO:0042026	0.865	22.2518119729938	90	protein folding	protein refolding
GO:0090101	19	GO:0090101	0.999	22.2291479883579	1	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0009408	5	GO:0070370	0.713	22.1804560644581	82	response to heat	cellular heat acclimation
GO:0007179	2	GO:0010803	0.517	21.9586073148418	4	transforming growth factor beta receptor signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0038034	9	GO:1901099	0.946	21.7958800173441	0	signal transduction in absence of ligand	negative regulation of signal transduction in absence of ligand
GO:0097192	9	GO:1901099	0.946	21.7958800173441	2	extrinsic apoptotic signaling pathway in absence of ligand	negative regulation of signal transduction in absence of ligand
GO:0090288	2	GO:0010803	0.577	21.7447274948967	0	negative regulation of cellular response to growth factor stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:0046902	4	GO:1901029	0.963	21.5528419686578	0	regulation of mitochondrial membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1903321	17	GO:0031397	0.962	21.5528419686578	0	negative regulation of protein modification by small protein conjugation or removal	negative regulation of protein ubiquitination
GO:0009988	14	GO:0007339	1	21.4948500216801	0	cell-cell recognition	binding of sperm to zona pellucida
GO:0034655	11	GO:0006402	0.941	21.4089353929735	0	nucleobase-containing compound catabolic process	mRNA catabolic process
GO:0090559	4	GO:1901029	0.963	21.301029995664	0	regulation of membrane permeability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0062207	20	GO:0062207	1	21.2291479883579	0	regulation of pattern recognition receptor signaling pathway	regulation of pattern recognition receptor signaling pathway
GO:0006626	8	GO:0072594	0.893	21.1191864077192	9	protein targeting to mitochondrion	establishment of protein localization to organelle
GO:0060236	3	GO:0090063	0.72	20.9586073148418	2	regulation of mitotic spindle organization	positive regulation of microtubule nucleation
GO:2001237	12	GO:1902236	0.761	20.9586073148418	0	negative regulation of extrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0032273	21	GO:0032273	0.999	20.7958800173441	1	positive regulation of protein polymerization	positive regulation of protein polymerization
GO:1903533	7	GO:1903955	0.967	20.7212463990472	0	regulation of protein targeting	positive regulation of protein targeting to mitochondrion
GO:0000723	22	GO:0000723	0.999	20.6382721639824	28	telomere maintenance	telomere maintenance
GO:0032200	22	GO:0000723	0.991	20.6382721639824	0	telomere organization	telomere maintenance
GO:0031396	17	GO:0031397	0.911	20.6382721639824	4	regulation of protein ubiquitination	negative regulation of protein ubiquitination
GO:0046700	11	GO:0006402	0.934	20.4202164033832	0	heterocycle catabolic process	mRNA catabolic process
GO:0043154	1	GO:1902380	0.538	20.2924298239021	6	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	positive regulation of endoribonuclease activity
GO:0090316	7	GO:1903955	0.853	20.2924298239021	3	positive regulation of intracellular protein transport	positive regulation of protein targeting to mitochondrion
GO:0030308	23	GO:0030308	0.999	20.2924298239021	17	negative regulation of cell growth	negative regulation of cell growth
GO:0035966	2	GO:0010803	0.518	20.130768280269	0	response to topologically incorrect protein	regulation of tumor necrosis factor-mediated signaling pathway
GO:2000117	1	GO:1902380	0.543	20.1023729087096	0	negative regulation of cysteine-type endopeptidase activity	positive regulation of endoribonuclease activity
GO:0019439	11	GO:0006402	0.931	20	0	aromatic compound catabolic process	mRNA catabolic process
GO:0090224	3	GO:0090063	0.724	19.9208187539524	0	regulation of spindle organization	positive regulation of microtubule nucleation
GO:0033120	24	GO:0033120	1	19.9208187539524	3	positive regulation of RNA splicing	positive regulation of RNA splicing
GO:0071560	2	GO:0010803	0.522	19.7958800173441	2	cellular response to transforming growth factor beta stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:1905897	13	GO:0043618	0.408	19.7447274948967	1	regulation of response to endoplasmic reticulum stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0044270	11	GO:0006402	0.934	19.7212463990472	0	cellular nitrogen compound catabolic process	mRNA catabolic process
GO:0006886	8	GO:0072594	0.861	19.6382721639824	117	intracellular protein transport	establishment of protein localization to organelle
GO:2001236	12	GO:1902236	0.747	19.4559319556497	0	regulation of extrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0044271	25	GO:0044271	0.911	19.3665315444204	0	cellular nitrogen compound biosynthetic process	cellular nitrogen compound biosynthetic process
GO:0016071	24	GO:0033120	0.35	19.1674910872938	0	mRNA metabolic process	positive regulation of RNA splicing
GO:0032436	26	GO:0032436	0.999	19.1549019599857	53	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:2000060	26	GO:0032436	0.988	19.1549019599857	9	positive regulation of ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0090092	19	GO:0090101	0.951	19.1487416512809	0	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:1901361	11	GO:0006402	0.928	19.0969100130081	0	organic cyclic compound catabolic process	mRNA catabolic process
GO:0090307	3	GO:0090063	0.466	19.0087739243075	14	mitotic spindle assembly	positive regulation of microtubule nucleation
GO:0009266	5	GO:0070370	0.673	18.9208187539524	7	response to temperature stimulus	cellular heat acclimation
GO:0033157	7	GO:1903955	0.811	18.8239087409443	2	regulation of intracellular protein transport	positive regulation of protein targeting to mitochondrion
GO:0071559	2	GO:0010803	0.467	18.6575773191778	0	response to transforming growth factor beta	regulation of tumor necrosis factor-mediated signaling pathway
GO:0072655	8	GO:0072594	0.903	18.6197887582884	1	establishment of protein localization to mitochondrion	establishment of protein localization to organelle
GO:0070585	8	GO:0072594	0.841	18.4202164033832	0	protein localization to mitochondrion	establishment of protein localization to organelle
GO:2000058	26	GO:0032436	0.973	18.2518119729938	3	regulation of ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0007338	27	GO:0007338	0.999	18.1739251972992	3	single fertilization	single fertilization
GO:0032271	21	GO:0032273	0.918	18.0809219076239	0	regulation of protein polymerization	positive regulation of protein polymerization
GO:0032434	26	GO:0032436	0.987	18.0268721464003	1	regulation of proteasomal ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0006986	2	GO:0010803	0.51	17.698970004336	6	response to unfolded protein	regulation of tumor necrosis factor-mediated signaling pathway
GO:0050821	4	GO:1901029	0.369	17.6777807052661	45	protein stabilization	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0046907	8	GO:0072594	0.643	17.6777807052661	20	intracellular transport	establishment of protein localization to organelle
GO:0043281	26	GO:0032436	0.781	17.568636235841	2	regulation of cysteine-type endopeptidase activity involved in apoptotic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0008637	12	GO:1902236	0.494	17.537602002101	4	apoptotic mitochondrial changes	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0035967	2	GO:0010803	0.576	17.4559319556497	1	cellular response to topologically incorrect protein	regulation of tumor necrosis factor-mediated signaling pathway
GO:2001243	12	GO:1902236	0.91	17.1487416512809	0	negative regulation of intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0090287	2	GO:0010803	0.599	17.1426675035687	0	regulation of cellular response to growth factor stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:2001242	12	GO:1902236	0.887	17	0	regulation of intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0009566	27	GO:0007338	0.992	16.9586073148418	3	fertilization	single fertilization
GO:2000116	26	GO:0032436	0.792	16.8538719643218	0	regulation of cysteine-type endopeptidase activity	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:1903320	17	GO:0031397	0.885	16.7695510786217	0	regulation of protein modification by small protein conjugation or removal	negative regulation of protein ubiquitination
GO:0071356	2	GO:0010803	0.93	16.7212463990472	1	cellular response to tumor necrosis factor	regulation of tumor necrosis factor-mediated signaling pathway
GO:0051258	6	GO:0051131	0.547	16.6777807052661	0	protein polymerization	chaperone-mediated protein complex assembly
GO:0051225	3	GO:0090063	0.502	16.6575773191778	41	spindle assembly	positive regulation of microtubule nucleation
GO:0007178	19	GO:0090101	0.899	16.6197887582884	0	transmembrane receptor protein serine/threonine kinase signaling pathway	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0002221	20	GO:0062207	0.875	16.5850266520292	3	pattern recognition receptor signaling pathway	regulation of pattern recognition receptor signaling pathway
GO:0034612	2	GO:0010803	0.93	16.4559319556497	0	response to tumor necrosis factor	regulation of tumor necrosis factor-mediated signaling pathway
GO:0010629	28	GO:0010629	0.984	16.3767507096021	78	negative regulation of gene expression	negative regulation of gene expression
GO:0034645	29	GO:0034645	0.965	16.2146701649892	0	cellular macromolecule biosynthetic process	cellular macromolecule biosynthetic process
GO:0006839	8	GO:0072594	0.507	16.2146701649892	10	mitochondrial transport	establishment of protein localization to organelle
GO:0010821	16	GO:0010822	0.932	16.1023729087096	16	regulation of mitochondrion organization	positive regulation of mitochondrion organization
GO:0051091	1	GO:1902380	0.55	16.0555173278498	11	positive regulation of DNA-binding transcription factor activity	positive regulation of endoribonuclease activity
GO:1903706	20	GO:0062207	0.495	15.9586073148418	1	regulation of hemopoiesis	regulation of pattern recognition receptor signaling pathway
GO:0097193	12	GO:1902236	0.803	15.6197887582884	2	intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0010466	1	GO:1902380	0.561	15.537602002101	1	negative regulation of peptidase activity	positive regulation of endoribonuclease activity
GO:0097191	12	GO:1902236	0.677	15.5086383061657	3	extrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:1901800	26	GO:0032436	0.991	15.4202164033832	4	positive regulation of proteasomal protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0051345	1	GO:1902380	0.705	15.3665315444204	0	positive regulation of hydrolase activity	positive regulation of endoribonuclease activity
GO:0007088	22	GO:0000723	0.362	15.2839966563652	27	regulation of mitotic nuclear division	telomere maintenance
GO:0032388	7	GO:1903955	0.815	15.2006594505464	1	positive regulation of intracellular transport	positive regulation of protein targeting to mitochondrion
GO:0048872	4	GO:1901029	0.366	15.1739251972992	0	homeostasis of number of cells	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0045861	26	GO:0032436	0.808	15.0915149811213	24	negative regulation of proteolysis	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:1902905	30	GO:1902905	0.999	15.0757207139381	0	positive regulation of supramolecular fiber organization	positive regulation of supramolecular fiber organization
GO:0009059	25	GO:0044271	0.811	15.0506099933551	0	macromolecule biosynthetic process	cellular nitrogen compound biosynthetic process
GO:0010951	1	GO:1902380	0.559	14.9586073148418	7	negative regulation of endopeptidase activity	positive regulation of endoribonuclease activity
GO:0034620	2	GO:0010803	0.566	14.9586073148418	18	cellular response to unfolded protein	regulation of tumor necrosis factor-mediated signaling pathway
GO:1903052	26	GO:0032436	0.98	14.8860566476932	1	positive regulation of proteolysis involved in protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0001819	31	GO:0001819	1	14.8239087409443	0	positive regulation of cytokine production	positive regulation of cytokine production
GO:0016567	17	GO:0031397	0.702	14.7212463990472	187	protein ubiquitination	negative regulation of protein ubiquitination
GO:0006281	13	GO:0043618	0.528	14.6575773191778	79	DNA repair	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0007052	3	GO:0090063	0.501	14.6197887582884	56	mitotic spindle organization	positive regulation of microtubule nucleation
GO:2001233	12	GO:1902236	0.817	14.4202164033832	2	regulation of apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0034599	13	GO:0043618	0.463	14.4202164033832	25	cellular response to oxidative stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0031647	4	GO:1901029	0.378	14.4202164033832	18	regulation of protein stability	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0045089	32	GO:0045089	0.999	14.2839966563652	38	positive regulation of innate immune response	positive regulation of innate immune response
GO:0010608	26	GO:0032436	0.393	14.2291479883579	6	post-transcriptional regulation of gene expression	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0002764	20	GO:0062207	0.727	14.1426675035687	0	immune response-regulating signaling pathway	regulation of pattern recognition receptor signaling pathway
GO:0031334	21	GO:0032273	0.993	14.0809219076239	1	positive regulation of protein-containing complex assembly	positive regulation of protein polymerization
GO:0015031	8	GO:0072594	0.889	14.0132282657338	36	protein transport	establishment of protein localization to organelle
GO:2001234	12	GO:1902236	0.839	13.8538719643218	5	negative regulation of apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0045732	11	GO:0006402	0.636	13.8538719643218	21	positive regulation of protein catabolic process	mRNA catabolic process
GO:0051051	7	GO:1903955	0.542	13.7447274948967	0	negative regulation of transport	positive regulation of protein targeting to mitochondrion
GO:0015833	33	GO:0015833	1	13.7212463990472	0	peptide transport	peptide transport
GO:0043488	11	GO:0006402	0.935	13.6777807052661	5	regulation of mRNA stability	mRNA catabolic process
GO:0045184	8	GO:0072594	0.894	13.6575773191778	7	establishment of protein localization	establishment of protein localization to organelle
GO:1903050	26	GO:0032436	0.962	13.6197887582884	0	regulation of proteolysis involved in protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032446	17	GO:0031397	0.686	13.5850266520292	9	protein modification by small protein conjugation	negative regulation of protein ubiquitination
GO:0061136	26	GO:0032436	0.976	13.5850266520292	3	regulation of proteasomal protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0009205	34	GO:0009205	0.998	13.5528419686578	0	purine ribonucleoside triphosphate metabolic process	purine ribonucleoside triphosphate metabolic process
GO:0008037	14	GO:0007339	0.691	13.5228787452803	0	cell recognition	binding of sperm to zona pellucida
GO:0009144	34	GO:0009205	0.997	13.4948500216801	0	purine nucleoside triphosphate metabolic process	purine ribonucleoside triphosphate metabolic process
GO:0043487	11	GO:0006402	0.889	13.4814860601221	1	regulation of RNA stability	mRNA catabolic process
GO:0051495	16	GO:0010822	0.81	13.4814860601221	2	positive regulation of cytoskeleton organization	positive regulation of mitochondrion organization
GO:0070507	3	GO:0090063	0.799	13.4559319556497	10	regulation of microtubule cytoskeleton organization	positive regulation of microtubule nucleation
GO:0051783	22	GO:0000723	0.364	13.4559319556497	0	regulation of nuclear division	telomere maintenance
GO:0009199	34	GO:0009205	0.987	13.431798275933	0	ribonucleoside triphosphate metabolic process	purine ribonucleoside triphosphate metabolic process
GO:0001817	31	GO:0001819	0.91	13.3767507096021	0	regulation of cytokine production	positive regulation of cytokine production
GO:0061013	11	GO:0006402	0.937	13.2924298239021	0	regulation of mRNA catabolic process	mRNA catabolic process
GO:0062197	13	GO:0043618	0.465	13.2596373105058	1	cellular response to chemical stress	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0009141	34	GO:0009205	0.98	13.2596373105058	0	nucleoside triphosphate metabolic process	purine ribonucleoside triphosphate metabolic process
GO:0009612	5	GO:0070370	0.469	13.2596373105058	18	response to mechanical stimulus	cellular heat acclimation
GO:0044265	11	GO:0006402	0.828	13.1674910872938	0	cellular macromolecule catabolic process	mRNA catabolic process
GO:0007346	35	GO:0007346	0.995	13.1611509092627	37	regulation of mitotic cell cycle	regulation of mitotic cell cycle
GO:0001816	31	GO:0001819	0.901	12.9586073148418	1	cytokine production	positive regulation of cytokine production
GO:0052547	26	GO:0032436	0.811	12.9208187539524	0	regulation of peptidase activity	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0042886	33	GO:0015833	0.978	12.9208187539524	0	amide transport	peptide transport
GO:0044249	25	GO:0044271	0.858	12.8860566476932	0	cellular biosynthetic process	cellular nitrogen compound biosynthetic process
GO:0006614	8	GO:0072594	0.79	12.8538719643218	9	SRP-dependent cotranslational protein targeting to membrane	establishment of protein localization to organelle
GO:0032386	7	GO:1903955	0.751	12.8538719643218	3	regulation of intracellular transport	positive regulation of protein targeting to mitochondrion
GO:0051090	1	GO:1902380	0.494	12.8239087409443	2	regulation of DNA-binding transcription factor activity	positive regulation of endoribonuclease activity
GO:0052548	26	GO:0032436	0.806	12.7958800173441	0	regulation of endopeptidase activity	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0010605	28	GO:0010629	0.894	12.7958800173441	0	negative regulation of macromolecule metabolic process	negative regulation of gene expression
GO:0043085	1	GO:1902380	0.662	12.7212463990472	2	positive regulation of catalytic activity	positive regulation of endoribonuclease activity
GO:0007051	3	GO:0090063	0.527	12.6382721639824	13	spindle organization	positive regulation of microtubule nucleation
GO:0006613	8	GO:0072594	0.649	12.5228787452803	0	cotranslational protein targeting to membrane	establishment of protein localization to organelle
GO:0071363	2	GO:0010803	0.626	12.4436974992327	3	cellular response to growth factor stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:0032886	3	GO:0090063	0.771	12.3665315444204	1	regulation of microtubule-based process	positive regulation of microtubule nucleation
GO:1901576	25	GO:0044271	0.849	12.3665315444204	0	organic substance biosynthetic process	cellular nitrogen compound biosynthetic process
GO:0051649	8	GO:0072594	0.664	12.1674910872938	0	establishment of localization in cell	establishment of protein localization to organelle
GO:1902115	21	GO:0032273	0.638	12.0362121726544	1	regulation of organelle assembly	positive regulation of protein polymerization
GO:0002833	32	GO:0045089	0.91	12.0043648054024	0	positive regulation of response to biotic stimulus	positive regulation of innate immune response
GO:0070848	2	GO:0010803	0.56	11.9586073148418	0	response to growth factor	regulation of tumor necrosis factor-mediated signaling pathway
GO:0006413	15	GO:0002181	0.613	11.9208187539524	59	translational initiation	cytoplasmic translation
GO:0009058	25	GO:0044271	0.85	11.9208187539524	11	biosynthetic process	cellular nitrogen compound biosynthetic process
GO:0001558	23	GO:0030308	0.904	11.8538719643218	14	regulation of cell growth	negative regulation of cell growth
GO:0009126	34	GO:0009205	0.705	11.8239087409443	0	purine nucleoside monophosphate metabolic process	purine ribonucleoside triphosphate metabolic process
GO:0009167	34	GO:0009205	0.705	11.8239087409443	0	purine ribonucleoside monophosphate metabolic process	purine ribonucleoside triphosphate metabolic process
