go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0009059	4	GO:1901566	0.705	3.95860731484178	0	macromolecule biosynthetic process	organonitrogen compound biosynthetic process
GO:0050829	6	GO:0050829	0.997	3.88605664769316	121	defense response to Gram-negative bacterium	defense response to Gram-negative bacterium
GO:0016071	7	GO:0016071	0.982	3.65757731917779	0	mRNA metabolic process	mRNA metabolic process
GO:0010629	8	GO:0010629	0.988	3.58502665202918	67	negative regulation of gene expression	negative regulation of gene expression
GO:1901564	4	GO:1901566	0.689	3.22914798835786	0	organonitrogen compound metabolic process	organonitrogen compound biosynthetic process
GO:0044249	4	GO:1901566	0.727	3.17392519729917	0	cellular biosynthetic process	organonitrogen compound biosynthetic process
GO:1901576	4	GO:1901566	0.732	2.89619627904404	0	organic substance biosynthetic process	organonitrogen compound biosynthetic process
GO:0042742	6	GO:0050829	0.891	2.77469071827414	55	defense response to bacterium	defense response to Gram-negative bacterium
GO:0009058	4	GO:1901566	0.73	2.76447155309245	14	biosynthetic process	organonitrogen compound biosynthetic process
GO:0042273	5	GO:0042254	0.859	2.73754891026957	18	ribosomal large subunit biogenesis	ribosome biogenesis
GO:0022618	9	GO:0022618	0.997	2.52578373592374	5	ribonucleoprotein complex assembly	ribonucleoprotein complex assembly
GO:0046907	2	GO:0006614	0.627	2.48148606012211	20	intracellular transport	SRP-dependent cotranslational protein targeting to membrane
GO:1901575	3	GO:0000184	0.624	2.44129142946683	2	organic substance catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0071826	9	GO:0022618	0.995	2.38615817812393	0	ribonucleoprotein complex subunit organization	ribonucleoprotein complex assembly
GO:0015031	2	GO:0006614	0.7	2.38090666937326	36	protein transport	SRP-dependent cotranslational protein targeting to membrane
GO:0010605	8	GO:0010629	0.889	2.3585258894959	0	negative regulation of macromolecule metabolic process	negative regulation of gene expression
GO:0015833	10	GO:0015833	0.999	2.30980391997149	0	peptide transport	peptide transport
GO:0006364	7	GO:0016071	0.475	2.13135556160517	49	rRNA processing	mRNA metabolic process
GO:0042886	10	GO:0015833	0.98	2.12609840213554	0	amide transport	peptide transport
GO:0034613	2	GO:0006614	0.678	2.07468790850035	22	cellular protein localization	SRP-dependent cotranslational protein targeting to membrane
GO:0016072	7	GO:0016071	0.479	2.04769199033787	0	rRNA metabolic process	mRNA metabolic process
GO:0044248	3	GO:0000184	0.611	2.04769199033787	0	cellular catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0045184	2	GO:0006614	0.695	2.00261361560269	7	establishment of protein localization	SRP-dependent cotranslational protein targeting to membrane
